"work_company","cnt"
"Kameraman","31"
"Kavaja","31"
"AlbStar","31"
"Italy","31"
"Albacall Sha","31"
"LC Waikiki","31"
"Psikologe","31"
"Forcat RENEA","30"
"Tring","30"
"bojaxhi","30"
"Western Union","30"
"Edith Durham","30"
"Tirana Ring Center","30"
"Alitalia","30"
"ZVRPP","29"
"Conad Albania","29"
"Call center","29"
"Century21 Albania","29"
"CEZ","29"
"Taxi","29"
"Universiteti i Vlores ""Ismail Qemali""","29"
"Gjykata e Rrethit Gjyqësor Tirana","28"
"Footballl","28"
"ARB Security","28"
"IDS-Intercom Data Service group","28"
"Bashkia Berat","28"
"AIESEC Albania","28"
"Report TV","28"
"Turgut Ozal Colleges official","28"
"Spiecapag","27"
"NBA","27"
"Fibank Albania","27"
"klinike dentare","27"
"Bashkia Lushnje","27"
"mobileri","27"
"Gjiri i Lalzit","27"
"Fondi Besa","27"
"Versace","27"
"INXHINIER MEKANIK","26"
"The Plaza Tirana","26"
"Galatasaray","26"
"SK Tepelen","26"
"Fondi i Sigurimit të Detyrueshëm të Kujdesit Shëndetësor","26"
"Bashkia Shkodra","26"
"Ministria e Shëndetësisë dhe Mbrojtjes Sociale","26"
"InfoSoft","26"
"BIZNES PRIVAT (LOKAL)","26"
"shteti","26"
"Ksamil","25"
"FK KUKESI","25"
"Peshkopi, Diber, Albania","25"
"guzhinjer","25"
"PLUS Communication","25"
"My Own Biznes Institute","25"
"MANAXHER","25"
"Universiteti i Shkodrës ""Luigj Gurakuqi""","25"
"Nokia","25"
"Piktor","25"
"stiliste","24"
"Corovoda","24"
"Mesues Fiskulture","24"
"Armani","24"
"Kuzhinier","24"
"Shady Records","24"
"Artigiano","24"
"Universiteti Ismail Qemali Vlora","24"
"BABA STARS","24"
"AlbChrome  sh.p.k","24"
"SHEGA TRANS SHA","23"
"Aleksandër Moisiu University of Durres","23"
"Freelancer","23"
"ka kush puno per mua","23"
"FORCAT DETARE","23"
"Spitali Lushnje","23"
"Regency International Casino Tirana","23"
"University of New York in Tirana","23"
"Rrobaqepse","23"
"Policia Bashkiake Tirana","23"
"INtv Albania","23"
"Paris, France","22"
"Marketing","22"
"H&M","22"
"Profesor","22"
"Komuniteti Mysliman i Shqipërisë","22"
"Lyrics","22"
"Servis Makinash","22"
"Opportunity SH.P.K","22"
"ZRPP - Hipoteka e Tiranes","22"
"A2 CNN","22"
"Monster Energy","22"
"dentist","22"
"Nxenes","22"
"Ministria për Evropën dhe Punët e Jashtme - Republika e Shqipërisë","22"
"Arsim","22"
"Elbasan","21"
"Grèce","21"
"I Papune","21"
"Universiteti Ndërkombëtar i Tiranas","21"
"ZARA","21"
"Universiteti ""FAN S. NOLI"" Korça","21"
"Birra Tirana","21"
"Greqi","21"
"SIGAL UNIQA","21"
"Universiteti ""Aleksander Moisiu"" Durres","21"
"kamarier","21"
"Albanian Army","21"
"Trema Engineering 2","21"
"ProCredit Bank","21"
"TROPOJA","21"
"FSHF","21"
"ROLEX","20"
"Universiteti i Mjekesise, Tirana - UMT","20"
"Epoka University","20"
"Inspektorati Shtetëror Shëndetësor - ISHSH","20"
"Sports UNIVERSITETI I TIRANES","20"
"GoTech Electronics","20"
"My Biznes","20"
"Albanian University","20"
"Intersig Vienna Insurance Group","20"
"Pune Inxhinieresh","20"
"parukeri","20"
"BASHKIA SARANDE","20"
"DAR KORCE","20"
"U.S. Embassy-Tirana","20"
"Ministria e Mirëqenies Sociale dhe Rinisë","20"
"ALBSIG","20"
"ne greqi","20"
"KF Shkumbini Peqin","20"
"tregtar","20"
"Forca Ajrore","20"
"Photographer","19"
"PASHA","19"
"KF Kelcyra 1981","19"
"Bizesmen","19"
"New Shipping S.A","19"
"Universiteti ""Aleksander Xhuvani""","19"
"Shërbimi Social Shtetëror","19"
"Instituti i Sigurimeve Shoqerore","19"
"paradite Pa pune masdite pushim","19"
"Ikubinfo","19"
"SHPRESA-AL Computers","19"
"DeeJay","19"
"Bashkia Maliq","19"
"Bashkia Gjirokastër","19"
"Albaelettrica","19"
"The Mafia Boss","19"
"K.F Korabi","19"
"MANOVRATOR","19"
"Mane TCI (Trade Construction Investment)","19"
"Top Model","19"
"Kontrolli I Larte I Shtetit","19"
"Optima Albania","19"
"Fiber Group","19"
